Order_ID,Order_Date,Customer_ID,Segment,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Discount,Profit,Shipping_Cost
ORD-1001,2025-04-13,CUST-128,Consumer,West,Technology,Phones,Google Pixel 8,3,280.44,0.0,51.44,7.57
ORD-1002,2025-05-11,CUST-121,Consumer,West,Furniture,Tables,Conference Table,5,2498.61,0.05,179.1,3.74
ORD-1003,2025-02-28,CUST-141,Consumer,West,Office Supplies,Binders,Zipper Binder,4,1920.18,0.0,483.67,8.46
ORD-1004,2025-06-16,CUST-117,Home Office,West,Furniture,Tables,Conference Table,9,247.8,0.0,39.71,24.86
ORD-1005,2025-09-21,CUST-146,Consumer,North,Furniture,Furnishings,Anti-Fatigue Mat,6,1069.41,0.05,82.81,29.95
ORD-1006,2025-02-13,CUST-133,Consumer,West,Furniture,Bookcases,Walnut Bookshelf,8,3702.39,0.05,1104.34,30.03
ORD-1007,2025-08-25,CUST-117,Corporate,West,Furniture,Chairs,Ergonomic Mesh Chair,9,2228.17,0.0,231.53,16.55
ORD-1008,2025-05-09,CUST-143,Consumer,East,Office Supplies,Binders,Heavy-Duty 3-Ring Binder,8,4698.17,0.1,266.2,14.47
ORD-1009,2025-02-10,CUST-127,Home Office,West,Furniture,Chairs,Drafting Stool,7,3780.28,0.05,795.5,11.79
ORD-1010,2025-02-04,CUST-100,Consumer,East,Furniture,Bookcases,Oak 4-Shelf Bookcase,5,2278.01,0.1,344.22,19.73
ORD-1011,2025-01-15,CUST-125,Consumer,North,Office Supplies,Storage,Filing Cabinet 3-Drawer,4,2909.76,0.0,589.5,27.18
ORD-1012,2025-02-05,CUST-112,Consumer,East,Office Supplies,Art,Cutting Mat,9,880.32,0.0,136.11,16.33
ORD-1013,2025-11-27,CUST-127,Consumer,South,Technology,Phones,iPhone 15 Pro,9,5914.27,0.15,67.88,19.34
ORD-1014,2025-05-17,CUST-136,Corporate,South,Office Supplies,Binders,Presentation Folder,8,4534.96,0.0,1555.24,33.8
ORD-1015,2025-10-22,CUST-101,Corporate,North,Technology,Copiers,Canon ImageCLASS,1,781.64,0.0,84.62,14.04
ORD-1016,2025-05-06,CUST-101,Consumer,South,Furniture,Furnishings,Monitor Stand,4,313.88,0.0,50.39,28.7
ORD-1017,2025-11-21,CUST-133,Corporate,East,Office Supplies,Storage,Filing Cabinet 3-Drawer,6,3367.28,0.15,266.91,10.05
ORD-1018,2025-12-12,CUST-102,Home Office,West,Office Supplies,Art,Marker Set 24-Pack,1,327.09,0.05,87.97,24.62
ORD-1019,2025-05-31,CUST-130,Home Office,East,Office Supplies,Art,Cutting Mat,9,3785.03,0.0,1321.22,33.89
ORD-1020,2025-02-06,CUST-131,Corporate,North,Technology,Accessories,USB-C Hub,3,2061.64,0.0,663.73,30.23
ORD-1021,2025-04-23,CUST-107,Corporate,West,Furniture,Bookcases,Metal Storage Shelf,9,4822.64,0.0,676.14,20.56
ORD-1022,2025-11-06,CUST-134,Corporate,North,Technology,Copiers,Canon ImageCLASS,5,776.88,0.0,222.22,26.07
ORD-1023,2025-05-08,CUST-132,Corporate,East,Office Supplies,Appliances,Air Purifier,6,4357.73,0.0,817.16,23.64
ORD-1024,2025-11-13,CUST-147,Consumer,East,Technology,Copiers,Canon ImageCLASS,5,3542.71,0.1,901.41,13.58
